participant_id,block,block_number,trial_number,timestamp_ms,left_option_shape,right_option_shape,left_option_prob,right_option_prob,selected_option,selected_shape,response_time_ms,feedback,points_earned,total_points,state,state_duration_ms,is_practice,source_file
PG11,80/20,1,1,99824,circle,square,0.2,0.8,0.0,circle,785.0,negative,0.0,0.0,5,1012,True,PG11_PRL.csv
PG11,80/20,1,2,102178,square,circle,0.8,0.2,0.0,square,314.0,positive,0.0,0.0,5,1015,True,PG11_PRL.csv
PG11,80/20,1,3,105224,circle,square,0.2,0.8,,,,,0.0,0.0,5,1016,True,PG11_PRL.csv
PG11,80/20,1,4,107503,square,circle,0.8,0.2,0.0,square,259.0,positive,0.0,0.0,5,1002,True,PG11_PRL.csv
PG11,80/20,1,5,110249,circle,square,0.2,0.8,1.0,square,724.0,positive,0.0,0.0,5,1002,True,PG11_PRL.csv
PG11,80/20,1,6,112714,circle,square,0.2,0.8,1.0,square,434.0,positive,0.0,0.0,5,1012,True,PG11_PRL.csv
PG11,80/20,1,7,115460,square,circle,0.8,0.2,0.0,square,719.0,positive,0.0,0.0,5,1011,True,PG11_PRL.csv
PG11,80/20,1,8,117795,circle,square,0.2,0.8,1.0,square,309.0,positive,0.0,0.0,5,1011,True,PG11_PRL.csv
PG11,80/20,1,9,120334,square,circle,0.8,0.2,0.0,square,522.0,positive,0.0,0.0,5,1000,True,PG11_PRL.csv
PG11,80/20,1,10,122981,square,circle,0.8,0.2,0.0,square,624.0,positive,0.0,0.0,5,1003,True,PG11_PRL.csv
PG11,80/20,1,11,125640,circle,square,0.2,0.8,1.0,square,617.0,positive,0.0,0.0,5,1015,True,PG11_PRL.csv
PG11,80/20,1,12,128089,circle,square,0.2,0.8,1.0,square,424.0,positive,0.0,0.0,5,1009,True,PG11_PRL.csv
PG11,80/20,1,13,130668,square,circle,0.8,0.2,0.0,square,546.0,negative,0.0,0.0,5,1001,True,PG11_PRL.csv
PG11,80/20,1,14,132901,circle,square,0.2,0.8,1.0,square,212.0,positive,0.0,0.0,5,1004,True,PG11_PRL.csv
PG11,80/20,1,15,135347,circle,square,0.2,0.8,1.0,square,414.0,positive,0.0,0.0,5,1014,True,PG11_PRL.csv
